N = 2^20,DEBUG,N = 2^24,DEBUG,N = 2^26,DEBUG
C,x86-64,C,x86-64,C,x86-64
0.008,0.007,0.131,0.112,0.503,0.449
0.007,0.003,0.131,0.045,0.497,0.213
0.008,0.003,0.127,0.047,0.506,0.207
0.009,0.003,0.131,0.046,0.497,0.202
0.008,0.003,0.126,0.046,0.497,0.207
0.008,0.003,0.13,0.044,0.494,0.206
0.007,0.003,0.125,0.045,0.498,0.201
0.007,0.003,0.121,0.043,0.499,0.203
0.008,0.003,0.124,0.045,0.511,0.194
0.008,0.003,0.126,0.044,0.499,0.206
0.008,0.003,0.127,0.045,0.5,0.198
0.009,0.004,0.134,0.045,0.493,0.211
0.008,0.003,0.131,0.046,0.511,0.202
0.008,0.002,0.133,0.045,0.498,0.219
0.008,0.002,0.126,0.047,0.497,0.213
0.008,0.002,0.125,0.052,0.497,0.2
0.008,0.002,0.128,0.045,0.495,0.203
0.008,0.002,0.127,0.044,0.506,0.208
0.008,0.003,0.135,0.048,0.495,0.196
0.008,0.003,0.123,0.045,0.497,0.21
0.007,0.003,0.129,0.045,0.499,0.214
0.009,0.007,0.125,0.042,0.505,0.21
0.009,0.003,0.126,0.046,0.512,0.211
0.009,0.003,0.124,0.043,0.506,0.237
0.008,0.004,0.137,0.043,0.509,0.198
0.008,0.003,0.133,0.042,0.509,0.211
0.007,0.003,0.121,0.043,0.499,0.213
0.007,0.003,0.122,0.043,0.511,0.216
,,,,,
0.007964285714,0.003178571429,0.1277857143,0.04735714286,0.5014285714,0.2163571429
,,,,,
,RELEASE,,RELEASE,,RELEASE
0.006,0.007,0.101,0.046,0.39,0.43
0.007,0.002,0.1,0.044,0.391,0.204
0.007,0.002,0.097,0.044,0.398,0.205
0.006,0.002,0.099,0.043,0.384,0.224
0.007,0.003,0.101,0.045,0.382,0.179
0.006,0.002,0.096,0.044,0.394,0.214
0.006,0.003,0.098,0.042,0.4,0.208
0.006,0.003,0.1,0.045,0.395,0.208
0.006,0.003,0.106,0.047,0.406,0.207
0.007,0.002,0.1,0.044,0.392,0.211
0.006,0.003,0.096,0.044,0.397,0.212
0.007,0.003,0.095,0.043,0.374,0.199
0.007,0.002,0.097,0.043,0.383,0.21
0.006,0.003,0.1,0.042,0.392,0.209
0.006,0.003,0.099,0.042,0.39,0.212
0.006,0.002,0.099,0.043,0.384,0.207
0.006,0.003,0.099,0.043,0.391,0.206
0.007,0.002,0.103,0.043,0.387,0.232
0.006,0.003,0.101,0.043,0.402,0.216
0.006,0.003,0.095,0.042,0.393,0.208
0.006,0.003,0.097,0.046,0.383,0.199
0.007,0.003,0.105,0.046,0.387,0.249
0.007,0.003,0.096,0.046,0.39,0.204
0.005,0.003,0.1,0.043,0.383,0.225
0.005,0.003,0.094,0.043,0.406,0.213
0.005,0.003,0.099,0.042,0.398,0.212
0.007,0.003,0.095,0.045,0.425,0.219
0.006,0.003,0.096,0.44,0.39,0.209
0.006,0.003,0.1,0.042,0.394,0.208
0.005,0.003,0.096,0.042,0.392,0.233
0.007,0.002,0.099,0.044,0.393,0.21
,,,,,
0.006225806452,0.002838709677,0.09867741935,0.05648387097,0.3924516129,0.2187741935
